norm,name,alive_fraction,critical_survival,annual_mean_served_fraction,annual_mean_critical_service,final_served_fraction,final_critical_service,mean_stress_memory,critical_stress_memory,max_stress_memory,annual_cooperation_attempts,annual_cooperation_successes,final_cooperation_attempts,final_cooperation_successes,mean_pool_count,mean_pool_members,converged,last_step
ALLC,generous,0.6890432098765432,0.6911764705882353,0.9936854707750521,0.9936795525729925,1.0,1.0,0.000751088703255596,0.0007123675800919342,0.0027078298295357766,105719,105719,51,51,41.083333333333336,5750.375,False,8760
SELF,selfish,0.6666666666666666,0.8235294117647058,0.993560490880347,0.9950093317096388,1.0,1.0,0.0007745741578499307,0.0005473789244642469,0.0027078298295357766,56368,56368,22,22,18.285714285714285,2203.4285714285716,False,8760
DISC,standing,0.6929012345679012,0.6911764705882353,0.993596943439176,0.9935983080523719,1.0,1.0,0.0007786113259531122,0.0007344093087208455,0.0027078298295357766,113808,113808,56,56,44.45238095238095,6282.0,False,8760
SJ,stern judging,0.6929012345679012,0.6911764705882353,0.9935971375194794,0.9935968974307235,1.0,1.0,0.0007785163400433178,0.000736499997816156,0.0027078298295357766,113812,113812,56,56,44.464285714285715,6282.505952380952,False,8760
SHUN,shunning,0.6952160493827161,0.6911764705882353,0.9935377665807942,0.9935069031274543,1.0,1.0,0.0008008683272591985,0.0007719414932249139,0.0027078298295357766,118277,118277,59,59,46.36904761904762,6559.005952380952,False,8760
CRIT,critical first,0.6929012345679012,0.6911764705882353,0.993596943439176,0.9935983080523719,1.0,1.0,0.0007786113259531122,0.0007344093087208455,0.0027078298295357766,113808,113808,56,56,44.45238095238095,6282.0,False,8760
MKT,market,0.6890432098765432,0.6911764705882353,0.9936854707750521,0.9936795525729925,1.0,1.0,0.000751088703255596,0.0007123675800919342,0.0027078298295357766,105719,105719,51,51,41.083333333333336,5750.375,False,8760
LOCAL,neighbor loyal,0.6527777777777778,0.6617647058823529,0.9939317465044729,0.9939478372704331,1.0,1.0,0.0005984761570977891,0.0005655489924892305,0.0027078298295357766,100990,100990,4,4,8.101190476190476,596.9047619047619,False,8760
