grid_row,grid_col,building_id,profile_id,lon,lat,landuse,roof_area_m2
0,0,201006.0000163,Com_46797,-122.40638261530027,37.806056631231996,industrial,117.755
0,1,201006.0044066,Com_32309,-122.40547054299077,37.80517681132403,industrial,402.580
0,2,201006.000203,Com_18865,-122.40564479145907,37.804987061554236,industrial,301.935
0,3,201006.0002256,Res_265847,-122.40477222998231,37.80457097876353,residential,25.000
0,4,201006.0002387,Res_183012,-122.40412858866266,37.80470053522657,residential,25.000
0,5,201006.000239,Res_183012,-122.40370788335963,37.80441518960099,residential,25.000
0,6,201006.015702,Res_91241,-122.40383810408545,37.80416243511006,residential,42.814
0,7,201006.0002244,Res_265847,-122.4042187463728,37.804251079646,residential,25.000
0,8,201006.0000468,Com_53438,-122.40262782719715,37.80345291184032,commercial,402.580
0,9,201006.0000817,Res_139809,-122.4035867141662,37.80357394508723,residential,25.000
0,10,201006.0001022,Com_46797,-122.40229341468202,37.80290443627572,industrial,241.548
0,11,201006.0000682,Com_46797,-122.40274875671312,37.80269649653333,industrial,241.548
0,12,201006.0021309,Res_91241,-122.40402699037645,37.803731531152586,residential,87.138
0,13,201006.0001921,Com_32309,-122.40073241584159,37.801250928344984,industrial,402.580
0,14,201006.0003764,Com_43596,-122.40106963827502,37.80120708275159,industrial,241.548
0,15,201006.0003337,Com_18865,-122.40132724143562,37.801172479719426,industrial,301.935
0,16,201006.0000635,Com_18865,-122.40090397676651,37.800795401156165,industrial,301.935
0,17,201006.0003825,Com_34504,-122.40050560184831,37.80037478564878,industrial,201.290
0,18,201006.0012604,Com_33730,-122.40073933068106,37.80033659155988,industrial,218.238
0,19,201006.0001444,Com_46373,-122.39919555808906,37.79952040141475,commercial,603.870
0,20,201006.0002445,Com_53794,-122.40052329363787,37.8001136108928,industrial,603.870
0,21,201006.0005882,Res_265847,-122.39801244485274,37.798802915998216,residential,25.338
0,22,201006.0004948,Res_265847,-122.39760280149638,37.798460951965275,residential,25.338
0,23,201006.000934,Res_265847,-122.39801078787445,37.79859039922417,residential,25.338
