row,col,lon,lat,building_count,land,occupied,elevation_m,slope,solar_factor,productivity,money,use_type,floors,pv_kw,battery_kwh,service_ratio,lifetime_imported,lifetime_exported,lifetime_transit,lifetime_transit_fee,cable_degree,function
0,27,-122.35785714285714,37.810089285714284,0,False,False,0.050000001,47.04180055812072,1.0906495166036063,0.9405950403676595,0.0,residential,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,empty
1,0,-122.51214285714286,37.806267857142856,0,False,False,0.0,0.0,0.5892857142856994,1.0607142857142846,0.0,residential,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,empty
1,1,-122.50642857142857,37.806267857142856,0,False,False,0.0,0.0,0.6078571428571444,1.0621428571428573,0.0,residential,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,empty
1,2,-122.50071428571428,37.806267857142856,0,False,False,0.0,0.0,0.6264285714285895,1.06357142857143,0.0,residential,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,empty
1,3,-122.495,37.806267857142856,0,False,False,0.0,0.0,0.6449999999999885,1.064999999999999,0.0,residential,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,empty
1,4,-122.48928571428571,37.806267857142856,0,False,False,0.0,0.0,0.6635714285714335,1.066428571428572,0.0,residential,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,empty
1,5,-122.48357142857142,37.806267857142856,0,False,False,0.0,26.971973419,0.6821428571428786,0.976869965751269,0.0,residential,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,empty
1,6,-122.47785714285715,37.806267857142856,0,False,False,26.971973419,90.69653870173246,0.7424103834610782,0.7633302730004548,0.0,residential,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,empty
1,7,-122.47214285714286,37.806267857142856,0,False,False,41.165340424,70.74300642749363,0.7700054735760763,0.8320700324804385,0.0,residential,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,empty
1,8,-122.46642857142858,37.806267857142856,0,False,False,2.134352684,42.6796969126967,0.7496630657515466,0.9281672910433767,0.0,residential,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,empty
1,9,-122.46071428571429,37.806267857142856,0,False,False,0.0,3.4742246136368236,0.8066145705076343,1.0618514893101842,0.0,residential,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,empty
